EVENT_NO_TRIP,EVENT_NO_STOP,OPD_DATE,VEHICLE_ID,METERS,ACT_TIME,GPS_LONGITUDE,GPS_LATITUDE,GPS_SATELLITES,GPS_HDOP
259172515,259172519,15FEB2023:00:00:00,4223,2648,20729,-122.660825,45.5097,11,0.8
259172515,259172519,15FEB2023:00:00:00,4223,2683,20734,-122.660842,45.510017,11,0.8
259172515,259172519,15FEB2023:00:00:00,4223,2720,20739,-122.66084,45.510345,11,0.8
259172515,259172519,15FEB2023:00:00:00,4223,2754,20744,-122.660835,45.510665,11,0.8
259172515,259172519,15FEB2023:00:00:00,4223,2786,20749,-122.660832,45.510953,11,0.8
259172515,259172520,15FEB2023:00:00:00,4223,2826,20754,-122.660833,45.511305,11,0.8
259172515,259172520,15FEB2023:00:00:00,4223,2870,20759,-122.66083,45.511707,11,0.8
259172515,259172520,15FEB2023:00:00:00,4223,2919,20764,-122.660827,45.512145,11,0.8
259172515,259172520,15FEB2023:00:00:00,4223,2969,20769,-122.660827,45.512602,10,1
259172515,259172520,15FEB2023:00:00:00,4223,3020,20774,-122.660828,45.513063,11,0.8
259172515,259172520,15FEB2023:00:00:00,4223,3072,20779,-122.660827,45.513538,11,0.9
259172515,259172520,15FEB2023:00:00:00,4223,3121,20784,-122.660822,45.513992,11,0.8
259172515,259172520,15FEB2023:00:00:00,4223,3166,20789,-122.660827,45.514398,11,0.8
259172515,259172520,15FEB2023:00:00:00,4223,3212,20794,-122.660852,45.514815,11,0.8
259172515,259172520,15FEB2023:00:00:00,4223,3257,20799,-122.660848,45.51522,11,0.8
259172515,259172520,15FEB2023:00:00:00,4223,3306,20804,-122.660845,45.51566,11,0.9
259172515,259172520,15FEB2023:00:00:00,4223,3359,20809,-122.660845,45.516147,11,0.8
259172515,259172520,15FEB2023:00:00:00,4223,3409,20814,-122.660843,45.5166,11,0.8
259172515,259172520,15FEB2023:00:00:00,4223,3453,20819,-122.660868,45.517007,11,0.8
259172515,259172520,15FEB2023:00:00:00,4223,3501,20824,-122.661375,45.51723,11,0.8
259172515,259172521,15FEB2023:00:00:00,4223,3561,20829,-122.662095,45.517225,11,0.8
259172515,259172521,15FEB2023:00:00:00,4223,3630,20834,-122.662978,45.517213,10,0.9
259172515,259172521,15FEB2023:00:00:00,4223,3712,20839,-122.664017,45.517203,11,0.8
259172515,259172521,15FEB2023:00:00:00,4223,3794,20844,-122.665075,45.51721,11,0.8
259172515,259172521,15FEB2023:00:00:00,4223,3870,20849,-122.66608,45.517212,11,0.8
259172515,259172521,15FEB2023:00:00:00,4223,3930,20854,-122.666872,45.517218,11,0.8
259172515,259172522,15FEB2023:00:00:00,4223,3988,20859,-122.667607,45.51731,11,0.8
259172515,259172522,15FEB2023:00:00:00,4223,4047,20864,-122.668322,45.517493,11,0.8
259172515,259172522,15FEB2023:00:00:00,4223,4105,20869,-122.669023,45.51769,11,0.9
259172515,259172522,15FEB2023:00:00:00,4223,4165,20874,-122.66973,45.517902,11,0.8
259172515,259172522,15FEB2023:00:00:00,4223,4227,20879,-122.670468,45.518105,11,0.9
259172515,259172522,15FEB2023:00:00:00,4223,4288,20884,-122.671217,45.518305,11,0.8
259172515,259172522,15FEB2023:00:00:00,4223,4347,20889,-122.671923,45.518513,11,0.8
259172515,259172522,15FEB2023:00:00:00,4223,4402,20894,-122.672553,45.518745,11,0.8
259172515,259172522,15FEB2023:00:00:00,4223,4451,20899,-122.673103,45.518993,11,0.8
259172515,259172522,15FEB2023:00:00:00,4223,4484,20904,-122.673458,45.519187,11,0.8
259172515,259172522,15FEB2023:00:00:00,4223,4525,20909,-122.673902,45.519365,10,0.9
259172515,259172522,15FEB2023:00:00:00,4223,4561,20914,-122.674353,45.519492,10,1.8
259172515,259172522,15FEB2023:00:00:00,4223,4573,20919,-122.674538,45.51954,10,0.9
259172515,259172522,15FEB2023:00:00:00,4223,4573,20921,-122.674542,45.51954,10,0.9
259172515,259172522,15FEB2023:00:00:00,4223,4573,20923,-122.674542,45.51954,10,0.9
259172515,259172522,15FEB2023:00:00:00,4223,4574,20924,-122.674545,45.51954,9,0.9
259172515,259172522,15FEB2023:00:00:00,4223,4597,20929,-122.674788,45.519605,10,0.9
259172515,259172522,15FEB2023:00:00:00,4223,4627,20934,-122.675157,45.519702,11,1.1
259172515,259172522,15FEB2023:00:00:00,4223,4652,20939,-122.675468,45.519783,9,0.8
259172515,259172523,15FEB2023:00:00:00,4223,4674,20949,-122.675745,45.519855,11,0.8
259172515,259172523,15FEB2023:00:00:00,4223,4691,20954,-122.67587,45.519963,11,1.1
259172515,259172523,15FEB2023:00:00:00,4223,4720,20959,-122.67577,45.520218,11,1.2
259172515,259172523,15FEB2023:00:00:00,4223,4736,20964,-122.675673,45.520382,11,1.4
259172515,259172523,15FEB2023:00:00:00,4223,4739,20969,-122.67565,45.520422,11,0.9
259172515,259172523,15FEB2023:00:00:00,4223,4739,20970,-122.67565,45.520422,11,0.9
259172515,259172523,15FEB2023:00:00:00,4223,4739,20974,-122.67565,45.520422,11,0.9
259172515,259172523,15FEB2023:00:00:00,4223,4739,20976,-122.67565,45.520422,11,1.4
259172515,259172523,15FEB2023:00:00:00,4223,4747,20979,-122.67562,45.520465,11,1.2
259172515,259172523,15FEB2023:00:00:00,4223,4777,20984,-122.675485,45.520707,11,1.6
259172515,259172523,15FEB2023:00:00:00,4223,4802,20989,-122.675345,45.520932,11,1.1
259172515,259172523,15FEB2023:00:00:00,4223,4825,20994,-122.675237,45.521103,11,1.6
259172515,259172523,15FEB2023:00:00:00,4223,4857,20999,-122.675072,45.521373,10,0.9
259172515,259172523,15FEB2023:00:00:00,4223,4882,21004,-122.674935,45.521593,10,0.9
259172515,259172523,15FEB2023:00:00:00,4223,4902,21009,-122.674812,45.521802,10,0.9
259172515,259172523,15FEB2023:00:00:00,4223,4934,21014,-122.674648,45.522068,10,0.9
259172515,259172523,15FEB2023:00:00:00,4223,4965,21019,-122.67449,45.522328,10,0.8
259172515,259172523,15FEB2023:00:00:00,4223,4995,21024,-122.674412,45.5226,10,0.8
259172515,259172523,15FEB2023:00:00:00,4223,5027,21029,-122.674435,45.522907,10,1
259172515,259172523,15FEB2023:00:00:00,4223,5058,21034,-122.674502,45.52314,10,1
259172515,259172524,15FEB2023:00:00:00,4223,5082,21039,-122.674882,45.52319,10,0.9
259172515,259172524,15FEB2023:00:00:00,4223,5110,21044,-122.675228,45.523175,11,1
259172515,259172525,15FEB2023:00:00:00,4223,5121,21079,-122.675383,45.523168,11,1.2
259172515,259172525,15FEB2023:00:00:00,4223,5161,21084,-122.675893,45.523143,7,1.1
259172515,259172526,15FEB2023:00:00:00,4223,5208,21094,-122.676478,45.523172,11,1.2
259172515,259172526,15FEB2023:00:00:00,4223,5224,21099,-122.676517,45.523308,10,0.8
259172515,259172526,15FEB2023:00:00:00,4223,5241,21104,-122.676522,45.523465,11,0.8
259172515,259172526,15FEB2023:00:00:00,4223,5253,21109,-122.676518,45.523582,10,0.8
259172515,259172527,15FEB2023:00:00:00,4223,5254,21169,-122.676513,45.523598,10,0.9
259172515,259172527,15FEB2023:00:00:00,4223,5271,21174,-122.676515,45.523763,10,1.2
259172515,259172527,15FEB2023:00:00:00,4223,5301,21179,-122.676518,45.524045,11,1.5
259172515,259172527,15FEB2023:00:00:00,4223,5326,21184,-122.67652,45.524277,10,0.9
259172515,259172528,15FEB2023:00:00:00,4223,5336,21199,-122.676513,45.524373,10,0.9
259172515,259172528,15FEB2023:00:00:00,4223,5359,21204,-122.676522,45.524582,11,1
259172515,259172528,15FEB2023:00:00:00,4223,5382,21209,-122.676532,45.524797,10,0.8
259172515,259172528,15FEB2023:00:00:00,4223,5402,21214,-122.676543,45.524977,10,0.8
259172515,259172528,15FEB2023:00:00:00,4223,5424,21219,-122.676545,45.525173,11,0.8
259172515,259172528,15FEB2023:00:00:00,4223,5443,21224,-122.676522,45.525352,11,0.8
259172515,259172529,15FEB2023:00:00:00,4223,5450,21289,-122.676518,45.525417,11,1.2
259172515,259172529,15FEB2023:00:00:00,4223,5473,21294,-122.676558,45.52562,10,0.8
259172515,259172529,15FEB2023:00:00:00,4223,5502,21299,-122.676565,45.525888,10,0.8
259172515,259172530,15FEB2023:00:00:00,4223,5534,21304,-122.676575,45.526178,10,0.9
259172515,259172530,15FEB2023:00:00:00,4223,5562,21309,-122.676592,45.52643,11,0.8
259172515,259172530,15FEB2023:00:00:00,4223,5579,21314,-122.676602,45.526587,11,0.8
259172515,259172530,15FEB2023:00:00:00,4223,5593,21319,-122.676775,45.526662,10,0.9
259172515,259172530,15FEB2023:00:00:00,4223,5616,21324,-122.677067,45.526655,9,0.9
259172515,259172530,15FEB2023:00:00:00,4223,5635,21329,-122.677303,45.526633,11,0.8
259172515,259172530,15FEB2023:00:00:00,4223,5645,21334,-122.67743,45.526627,10,0.9
259172515,259172530,15FEB2023:00:00:00,4223,5660,21339,-122.677533,45.526745,11,0.9
259172515,259172530,15FEB2023:00:00:00,4223,5682,21344,-122.67756,45.526937,11,0.9
259172515,259172530,15FEB2023:00:00:00,4223,5701,21349,-122.677562,45.527113,11,1.2
259172515,259172530,15FEB2023:00:00:00,4223,5709,21354,-122.677565,45.527193,11,1.5
259172515,259172530,15FEB2023:00:00:00,4223,5709,21356,-122.677565,45.527193,11,1.1
259172515,259172530,15FEB2023:00:00:00,4223,5710,21357,-122.677565,45.527193,11,1.2
259172515,259172530,15FEB2023:00:00:00,4223,5715,21359,-122.67757,45.527238,11,1.2
259172515,259172530,15FEB2023:00:00:00,4223,5740,21364,-122.677577,45.527468,10,1.1
259172515,259172530,15FEB2023:00:00:00,4223,5770,21369,-122.677573,45.52774,11,1.7
259172515,259172530,15FEB2023:00:00:00,4223,5792,21374,-122.677585,45.527937,11,0.8
259172515,259172530,15FEB2023:00:00:00,4223,5804,21379,-122.677472,45.528047,9,1
259172515,259172530,15FEB2023:00:00:00,4223,5820,21384,-122.677253,45.528053,10,0.9
259172515,259172530,15FEB2023:00:00:00,4223,5834,21389,-122.677057,45.52804,11,0.8
259172515,259172531,15FEB2023:00:00:00,4223,5838,21424,-122.677003,45.528037,6,2
259172515,259172531,15FEB2023:00:00:00,4223,5858,21429,-122.676765,45.528043,7,1.1
259172515,259172531,15FEB2023:00:00:00,4223,5889,21434,-122.67637,45.528047,10,1.1
259172515,259172531,15FEB2023:00:00:00,4223,5918,21439,-122.67599,45.528065,11,0.8
